# WHO growth reference table, vendored for PoshanNetra AI (Section 6.4).
# source_url: https://cdn.who.int/media/docs/default-source/child-growth/growth-reference-5-19-years/bmi-for-age-(5-19-years)/bmi-girls-z-who-2007-exp.xlsx
# retrieved: 2026-08-28
# sha256(source_xlsx): 66f5c6284b44579ad6135fc639f22c09e36fe5a695b04390377113f6a00deb72
# key column 'Month' is in months; rows: 168
# sd* columns are WHO's OWN published cut-offs, kept only so the test
# suite can prove our LMS implementation reproduces them exactly.
key,l,m,s,sd3neg,sd2neg,sd2pos,sd3pos
61,-0.8886,15.2441,0.09692,11.77,12.748,18.858,21.34
62,-0.9068,15.2434,0.09738,11.763,12.741,18.886,21.403
63,-0.9248,15.2433,0.09783,11.757,12.734,18.915,21.468
64,-0.9427,15.2438,0.09829,11.752,12.728,18.946,21.535
65,-0.9605,15.2448,0.09875,11.746,12.723,18.977,21.603
66,-0.978,15.2464,0.0992,11.742,12.718,19.009,21.673
67,-0.9954,15.2487,0.09966,11.737,12.714,19.042,21.745
68,-1.0126,15.2516,0.10012,11.733,12.71,19.077,21.819
69,-1.0296,15.2551,0.10058,11.73,12.706,19.112,21.895
70,-1.0464,15.2592,0.10104,11.727,12.703,19.148,21.973
71,-1.063,15.2641,0.10149,11.725,12.701,19.185,22.051
72,-1.0794,15.2697,0.10195,11.723,12.7,19.224,22.133
73,-1.0956,15.276,0.10241,11.722,12.699,19.264,22.217
74,-1.1115,15.2831,0.10287,11.721,12.698,19.305,22.303
75,-1.1272,15.2911,0.10333,11.721,12.699,19.347,22.391
76,-1.1427,15.2998,0.10379,11.722,12.7,19.391,22.481
77,-1.1579,15.3095,0.10425,11.723,12.701,19.436,22.574
78,-1.1728,15.32,0.10471,11.725,12.704,19.482,22.668
79,-1.1875,15.3314,0.10517,11.727,12.707,19.529,22.766
80,-1.2019,15.3439,0.10562,11.731,12.711,19.578,22.864
81,-1.216,15.3572,0.10608,11.735,12.716,19.628,22.966
82,-1.2298,15.3717,0.10654,11.74,12.721,19.68,23.071
83,-1.2433,15.3871,0.107,11.745,12.728,19.734,23.178
84,-1.2565,15.4036,0.10746,11.751,12.735,19.789,23.287
85,-1.2693,15.4211,0.10792,11.758,12.743,19.845,23.399
86,-1.2819,15.4397,0.10837,11.766,12.752,19.903,23.512
87,-1.2941,15.4593,0.10883,11.774,12.762,19.963,23.629
88,-1.306,15.4798,0.10929,11.783,12.772,20.023,23.749
89,-1.3175,15.5014,0.10974,11.793,12.783,20.085,23.869
90,-1.3287,15.524,0.1102,11.803,12.795,20.149,23.994
91,-1.3395,15.5476,0.11065,11.814,12.808,20.214,24.119
92,-1.3499,15.5723,0.1111,11.826,12.822,20.281,24.246
93,-1.36,15.5979,0.11156,11.838,12.836,20.349,24.377
94,-1.3697,15.6246,0.11201,11.851,12.852,20.418,24.51
95,-1.379,15.6523,0.11246,11.865,12.868,20.489,24.644
96,-1.388,15.681,0.11291,11.879,12.884,20.561,24.781
97,-1.3966,15.7107,0.11335,11.895,12.902,20.634,24.918
98,-1.4047,15.7415,0.1138,11.91,12.92,20.709,25.059
99,-1.4125,15.7732,0.11424,11.927,12.94,20.784,25.2
100,-1.4199,15.8058,0.11469,11.944,12.959,20.862,25.345
101,-1.427,15.8394,0.11513,11.962,12.98,20.94,25.491
102,-1.4336,15.8738,0.11557,11.98,13.001,21.019,25.638
103,-1.4398,15.909,0.11601,11.998,13.023,21.1,25.786
104,-1.4456,15.9451,0.11644,12.018,13.045,21.181,25.934
105,-1.4511,15.9818,0.11688,12.037,13.068,21.263,26.085
106,-1.4561,16.0194,0.11731,12.057,13.092,21.346,26.236
107,-1.4607,16.0575,0.11774,12.078,13.115,21.429,26.388
108,-1.465,16.0964,0.11816,12.099,13.14,21.513,26.539
109,-1.4688,16.1358,0.11859,12.12,13.165,21.599,26.692
110,-1.4723,16.1759,0.11901,12.141,13.19,21.684,26.845
111,-1.4753,16.2166,0.11943,12.163,13.216,21.77,26.998
112,-1.478,16.258,0.11985,12.185,13.242,21.857,27.152
113,-1.4803,16.2999,0.12026,12.208,13.269,21.944,27.305
114,-1.4823,16.3425,0.12067,12.231,13.296,22.031,27.459
115,-1.4838,16.3858,0.12108,12.254,13.323,22.12,27.612
116,-1.485,16.4298,0.12148,12.278,13.352,22.208,27.765
117,-1.4859,16.4746,0.12188,12.302,13.38,22.298,27.918
118,-1.4864,16.52,0.12228,12.327,13.41,22.388,28.071
119,-1.4866,16.5663,0.12268,12.352,13.439,22.479,28.226
120,-1.4864,16.6133,0.12307,12.378,13.47,22.57,28.378
121,-1.4859,16.6612,0.12346,12.404,13.501,22.663,28.531
122,-1.4851,16.71,0.12384,12.43,13.533,22.755,28.683
123,-1.4839,16.7595,0.12422,12.458,13.565,22.849,28.834
124,-1.4825,16.81,0.1246,12.485,13.598,22.943,28.987
125,-1.4807,16.8614,0.12497,12.514,13.631,23.038,29.138
126,-1.4787,16.9136,0.12534,12.542,13.666,23.134,29.29
127,-1.4763,16.9667,0.12571,12.572,13.7,23.231,29.441
128,-1.4737,17.0208,0.12607,12.602,13.736,23.328,29.591
129,-1.4708,17.0757,0.12643,12.632,13.772,23.426,29.742
130,-1.4677,17.1316,0.12678,12.663,13.81,23.525,29.891
131,-1.4642,17.1883,0.12713,12.695,13.847,23.624,30.039
132,-1.4606,17.2459,0.12748,12.727,13.885,23.725,30.189
133,-1.4567,17.3044,0.12782,12.76,13.925,23.825,30.336
134,-1.4526,17.3637,0.12816,12.793,13.964,23.927,30.484
135,-1.4482,17.4238,0.12849,12.827,14.004,24.029,30.63
136,-1.4436,17.4847,0.12882,12.861,14.045,24.131,30.776
137,-1.4389,17.5464,0.12914,12.896,14.087,24.234,30.92
138,-1.4339,17.6088,0.12946,12.931,14.129,24.338,31.064
139,-1.4288,17.6719,0.12978,12.967,14.171,24.442,31.209
140,-1.4235,17.7357,0.13009,13.003,14.214,24.546,31.351
141,-1.418,17.8001,0.1304,13.04,14.258,24.651,31.493
142,-1.4123,17.8651,0.1307,13.077,14.302,24.756,31.633
143,-1.4065,17.9306,0.13099,13.114,14.346,24.861,31.77
144,-1.4006,17.9966,0.13129,13.151,14.391,24.967,31.91
145,-1.3945,18.063,0.13158,13.189,14.436,25.072,32.047
146,-1.3883,18.1297,0.13186,13.227,14.481,25.177,32.182
147,-1.3819,18.1967,0.13214,13.265,14.526,25.282,32.316
148,-1.3755,18.2639,0.13241,13.303,14.572,25.387,32.448
149,-1.3689,18.3312,0.13268,13.341,14.618,25.491,32.579
150,-1.3621,18.3986,0.13295,13.379,14.663,25.596,32.708
151,-1.3553,18.466,0.13321,13.418,14.709,25.699,32.835
152,-1.3483,18.5333,0.13347,13.456,14.755,25.802,32.96
153,-1.3413,18.6006,0.13372,13.494,14.8,25.905,33.083
154,-1.3341,18.6677,0.13397,13.531,14.846,26.007,33.204
155,-1.3269,18.7346,0.13421,13.569,14.891,26.107,33.322
156,-1.3195,18.8012,0.13445,13.606,14.936,26.207,33.439
157,-1.3121,18.8675,0.13469,13.643,14.981,26.307,33.554
158,-1.3046,18.9335,0.13492,13.68,15.025,26.405,33.666
159,-1.297,18.9991,0.13514,13.717,15.07,26.501,33.775
160,-1.2894,19.0642,0.13537,13.753,15.113,26.598,33.884
161,-1.2816,19.1289,0.13559,13.788,15.157,26.693,33.989
162,-1.2739,19.1931,0.1358,13.824,15.2,26.786,34.092
