# WHO growth reference table, vendored for PoshanNetra AI (Section 6.4).
# source_url: https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx
# retrieved: 2026-08-28
# sha256(source_xlsx): c4b1c9029ab9751a5f0888e32f35c7c0287a16d361885cf911ecf23b3f7f6b4f
# key column 'Day' is in days; rows: 1857
# sd* columns are WHO's OWN published cut-offs, kept only so the test
# suite can prove our LMS implementation reproduces them exactly.
key,l,m,s,sd3neg,sd2neg,sd2pos,sd3pos
0,1,49.8842,0.03795,44.205,46.098,53.67,55.564
1,1,50.0601,0.03785,44.376,46.271,53.85,55.744
2,1,50.2359,0.03775,44.547,46.443,54.029,55.925
3,1,50.4118,0.03764,44.719,46.617,54.207,56.104
4,1,50.5876,0.03754,44.89,46.789,54.386,56.285
5,1,50.7635,0.03744,45.062,46.962,54.565,56.465
6,1,50.9393,0.03734,45.233,47.135,54.743,56.646
7,1,51.1152,0.03723,45.406,47.309,54.921,56.824
8,1,51.291,0.03713,45.578,47.482,55.1,57.004
9,1,51.4669,0.03703,45.749,47.655,55.279,57.184
10,1,51.6427,0.03693,45.921,47.828,55.457,57.364
11,1,51.8186,0.03682,46.095,48.003,55.635,57.542
12,1,51.9944,0.03672,46.267,48.176,55.813,57.722
13,1,52.1702,0.03662,46.439,48.349,55.991,57.902
14,1,52.3461,0.03652,46.611,48.523,56.169,58.081
15,1,52.4978,0.03645,46.757,48.671,56.325,58.238
16,1,52.6488,0.03639,46.901,48.817,56.481,58.396
17,1,52.799,0.03633,47.044,48.963,56.635,58.554
18,1,52.9483,0.03627,47.187,49.107,56.789,58.71
19,1,53.0967,0.03621,47.329,49.251,56.942,58.865
20,1,53.2441,0.03615,47.47,49.395,57.094,59.018
21,1,53.3905,0.03609,47.61,49.537,57.244,59.171
22,1,53.536,0.03603,47.749,49.678,57.394,59.323
23,1,53.6805,0.03597,47.888,49.819,57.542,59.473
24,1,53.8239,0.03592,48.024,49.957,57.691,59.624
25,1,53.9664,0.03586,48.161,50.096,57.837,59.772
26,1,54.1079,0.03581,48.295,50.233,57.983,59.921
27,1,54.2485,0.03575,48.43,50.37,58.127,60.067
28,1,54.3881,0.0357,48.563,50.505,58.271,60.213
29,1,54.5268,0.03565,48.695,50.639,58.415,60.358
