# WHO growth reference table, vendored for PoshanNetra AI (Section 6.4).
# source_url: https://cdn.who.int/media/docs/default-source/child-growth/growth-reference-5-19-years/height-for-age-(5-19-years)/hfa-boys-z-who-2007-exp.xlsx
# retrieved: 2026-08-28
# sha256(source_xlsx): d78fa8cafcab77dcb5f03d71506d92bdcb28f89c642816b6bb0eef466b007466
# key column 'Month' is in months; rows: 168
# sd* columns are WHO's OWN published cut-offs, kept only so the test
# suite can prove our LMS implementation reproduces them exactly.
key,l,m,s,sd3neg,sd2neg,sd2pos,sd3pos
61,1,110.2647,0.04164,96.49,101.082,119.448,124.039
62,1,110.8006,0.04172,96.933,101.555,120.046,124.668
63,1,111.3338,0.0418,97.373,102.026,120.641,125.295
64,1,111.8636,0.04187,97.812,102.496,121.231,125.915
65,1,112.3895,0.04195,98.245,102.96,121.819,126.534
66,1,112.911,0.04203,98.674,103.42,122.402,127.148
67,1,113.428,0.04211,99.099,103.875,122.981,127.757
68,1,113.941,0.04218,99.523,104.329,123.553,128.359
69,1,114.45,0.04226,99.94,104.777,124.123,128.96
70,1,114.9547,0.04234,100.353,105.22,124.689,129.556
71,1,115.4549,0.04241,100.766,105.662,125.248,130.144
72,1,115.9509,0.04249,101.171,106.097,125.804,130.731
73,1,116.4432,0.04257,101.572,106.529,126.357,131.314
74,1,116.9325,0.04264,101.974,106.96,126.905,131.891
75,1,117.4196,0.04272,102.371,107.387,127.452,132.468
76,1,117.9046,0.0428,102.766,107.812,127.997,133.044
77,1,118.388,0.04287,103.162,108.237,128.539,133.614
78,1,118.87,0.04295,103.554,108.659,129.081,134.186
79,1,119.3508,0.04303,103.944,109.079,129.622,134.758
80,1,119.8303,0.04311,104.333,109.499,130.162,135.328
81,1,120.3085,0.04318,104.724,109.919,130.698,135.893
82,1,120.7853,0.04326,105.11,110.335,131.236,136.461
83,1,121.2604,0.04334,105.494,110.75,131.771,137.027
84,1,121.7338,0.04342,105.877,111.162,132.305,137.591
85,1,122.2053,0.0435,106.258,111.573,132.837,138.153
86,1,122.675,0.04358,106.636,111.983,133.367,138.714
87,1,123.1429,0.04366,107.014,112.39,133.896,139.272
88,1,123.6092,0.04374,107.389,112.796,134.423,139.829
89,1,124.0736,0.04382,107.763,113.2,134.947,140.384
90,1,124.5361,0.0439,108.135,113.602,135.47,140.938
91,1,124.9964,0.04398,108.504,114.002,135.991,141.488
92,1,125.4545,0.04406,108.872,114.399,136.51,142.037
93,1,125.9104,0.04414,109.237,114.795,137.026,142.583
94,1,126.364,0.04422,109.601,115.188,137.54,143.127
95,1,126.8156,0.0443,109.962,115.58,138.051,143.669
96,1,127.2651,0.04438,110.321,115.969,138.561,144.209
97,1,127.7129,0.04446,110.679,116.357,139.069,144.747
98,1,128.159,0.04454,111.034,116.743,139.575,145.284
