# WHO growth reference table, vendored for PoshanNetra AI (Section 6.4).
# source_url: https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-girls-zscore-expanded-tables.xlsx
# retrieved: 2026-08-28
# sha256(source_xlsx): 6aa2876319449a6b1f4d825848128902114ff53c67b92b86a0c5140846013059
# key column 'Day' is in days; rows: 1857
# sd* columns are WHO's OWN published cut-offs, kept only so the test
# suite can prove our LMS implementation reproduces them exactly.
key,l,m,s,sd3neg,sd2neg,sd2pos,sd3pos
0,1,49.1477,0.0379,43.56,45.422,52.873,54.736
1,1,49.3166,0.03783,43.72,45.585,53.048,54.914
2,1,49.4854,0.03776,43.88,45.748,53.223,55.091
3,1,49.6543,0.0377,44.038,45.91,53.398,55.27
4,1,49.8232,0.03763,44.199,46.074,53.573,55.448
5,1,49.9921,0.03756,44.359,46.237,53.748,55.625
6,1,50.1609,0.03749,44.519,46.4,53.922,55.802
7,1,50.3298,0.03742,44.68,46.563,54.096,55.98
8,1,50.4987,0.03735,44.84,46.726,54.271,56.157
9,1,50.6676,0.03728,45.001,46.89,54.445,56.334
10,1,50.8365,0.03722,45.16,47.052,54.621,56.513
11,1,51.0053,0.03715,45.321,47.216,54.795,56.69
12,1,51.1742,0.03708,45.482,47.379,54.969,56.867
13,1,51.3431,0.03701,45.642,47.543,55.144,57.044
14,1,51.512,0.03694,45.803,47.706,55.318,57.221
15,1,51.651,0.0369,45.933,47.839,55.463,57.369
16,1,51.7895,0.03687,46.061,47.971,55.608,57.518
17,1,51.9272,0.03683,46.19,48.102,55.752,57.665
18,1,52.0641,0.0368,46.316,48.232,55.896,57.812
19,1,52.2002,0.03676,46.444,48.362,56.038,57.957
20,1,52.3353,0.03673,46.568,48.491,56.18,58.102
21,1,52.4695,0.03669,46.694,48.619,56.32,58.245
22,1,52.6027,0.03666,46.817,48.746,56.46,58.388
23,1,52.7349,0.03663,46.94,48.872,56.598,58.53
24,1,52.8661,0.0366,47.061,48.996,56.736,58.671
25,1,52.9963,0.03656,47.184,49.121,56.871,58.809
26,1,53.1255,0.03653,47.303,49.244,57.007,58.948
27,1,53.2537,0.0365,47.422,49.366,57.141,59.085
28,1,53.3809,0.03647,47.54,49.487,57.275,59.221
29,1,53.5072,0.03644,47.658,49.608,57.407,59.357
30,1,53.6326,0.03641,47.774,49.727,57.538,59.491
31,1,53.7571,0.03638,47.89,49.846,57.668,59.624
32,1,53.8806,0.03636,48.003,49.962,57.799,59.758
33,1,54.0031,0.03633,48.117,50.079,57.927,59.889
34,1,54.1247,0.0363,48.231,50.195,58.054,60.019
35,1,54.2454,0.03627,48.343,50.31,58.18,60.148
36,1,54.3651,0.03625,48.453,50.424,58.307,60.277
37,1,54.4839,0.03622,48.564,50.537,58.431,60.404
38,1,54.6018,0.03619,48.674,50.65,58.554,60.53
39,1,54.7187,0.03617,48.781,50.76,58.677,60.656
40,1,54.8348,0.03614,48.89,50.871,58.798,60.78
41,1,54.9499,0.03612,48.996,50.98,58.919,60.904
42,1,55.0642,0.03609,49.102,51.09,59.039,61.026
43,1,55.1777,0.03607,49.207,51.197,59.158,61.148
44,1,55.2903,0.03604,49.312,51.305,59.276,61.268
45,1,55.4021,0.03602,49.415,51.411,59.393,61.389
46,1,55.513,0.036,49.518,51.516,59.51,61.508
47,1,55.623,0.03597,49.621,51.621,59.625,61.625
48,1,55.7322,0.03595,49.721,51.725,59.739,61.743
49,1,55.8406,0.03593,49.822,51.828,59.853,61.86
50,1,55.9482,0.03591,49.921,51.93,59.966,61.975
51,1,56.0549,0.03588,50.021,52.032,60.077,62.089
52,1,56.1609,0.03586,50.119,52.133,60.189,62.203
53,1,56.266,0.03584,50.216,52.233,60.299,62.316
54,1,56.3704,0.03582,50.313,52.332,60.409,62.428
55,1,56.4739,0.0358,50.409,52.43,60.517,62.539
56,1,56.5767,0.03578,50.504,52.528,60.625,62.65
57,1,56.6788,0.03576,50.598,52.625,60.732,62.759
58,1,56.78,0.03574,50.692,52.721,60.839,62.868
59,1,56.8806,0.03572,50.785,52.817,60.944,62.976
60,1,56.9805,0.0357,50.878,52.912,61.049,63.083
61,1,57.0796,0.03568,50.97,53.006,61.153,63.189
62,1,57.1782,0.03566,51.061,53.1,61.256,63.295
63,1,57.2761,0.03564,51.152,53.193,61.359,63.4
64,1,57.3733,0.03562,51.242,53.286,61.461,63.504
65,1,57.4699,0.03561,51.33,53.377,61.563,63.609
66,1,57.5659,0.03559,51.42,53.468,61.663,63.712
67,1,57.6613,0.03557,51.508,53.559,61.763,63.814
68,1,57.756,0.03555,51.596,53.65,61.862,63.916
69,1,57.8501,0.03553,51.684,53.739,61.961,64.016
70,1,57.9436,0.03552,51.769,53.827,62.06,64.118
71,1,58.0365,0.0355,51.856,53.916,62.157,64.217
72,1,58.1288,0.03548,51.942,54.004,62.254,64.316
73,1,58.2206,0.03547,52.025,54.09,62.351,64.416
74,1,58.3117,0.03545,52.11,54.177,62.446,64.513
75,1,58.4022,0.03543,52.195,54.264,62.541,64.61
76,1,58.4922,0.03542,52.277,54.349,62.636,64.708
77,1,58.5816,0.0354,52.36,54.434,62.729,64.803
78,1,58.6705,0.03539,52.441,54.518,62.823,64.9
79,1,58.7588,0.03537,52.524,54.602,62.915,64.994
80,1,58.8465,0.03536,52.604,54.685,63.008,65.089
81,1,58.9337,0.03534,52.686,54.768,63.099,65.182
82,1,59.0204,0.03533,52.765,54.85,63.191,65.276
83,1,59.1066,0.03531,52.845,54.932,63.281,65.368
84,1,59.1922,0.0353,52.924,55.013,63.371,65.461
85,1,59.2773,0.03528,53.003,55.095,63.46,65.551
