# WHO growth reference table, vendored for PoshanNetra AI (Section 6.4).
# source_url: https://cdn.who.int/media/docs/default-source/child-growth/growth-reference-5-19-years/height-for-age-(5-19-years)/hfa-girls-z-who-2007-exp.xlsx
# retrieved: 2026-08-28
# sha256(source_xlsx): df07ee16d3d2916569f1d869b7c874d7b880a41321d871215ed0254cb16679b3
# key column 'Month' is in months; rows: 168
# sd* columns are WHO's OWN published cut-offs, kept only so the test
# suite can prove our LMS implementation reproduces them exactly.
key,l,m,s,sd3neg,sd2neg,sd2pos,sd3pos
61,1,109.6016,0.04355,95.282,100.055,119.148,123.921
62,1,110.1258,0.04364,95.708,100.514,119.738,124.543
63,1,110.6451,0.04373,96.13,100.968,120.322,125.161
64,1,111.1596,0.04382,96.547,101.418,120.902,125.773
65,1,111.6696,0.0439,96.963,101.865,121.474,126.376
66,1,112.1753,0.04399,97.372,102.306,122.044,126.979
67,1,112.6767,0.04407,97.78,102.745,122.608,127.574
68,1,113.174,0.04415,98.184,103.181,123.167,128.164
69,1,113.6672,0.04423,98.585,103.612,123.722,128.75
70,1,114.1565,0.04431,98.982,104.04,124.273,129.331
71,1,114.6421,0.04439,99.375,104.464,124.82,129.909
72,1,115.1244,0.04447,99.766,104.885,125.364,130.483
73,1,115.6039,0.04454,100.157,105.306,125.902,131.051
74,1,116.0812,0.04461,100.546,105.724,126.438,131.616
75,1,116.5568,0.04469,100.93,106.139,126.975,132.184
76,1,117.0311,0.04475,101.32,106.557,127.505,132.743
77,1,117.5044,0.04482,101.705,106.971,128.037,133.304
78,1,117.9769,0.04489,102.089,107.385,128.569,133.865
79,1,118.4489,0.04495,102.476,107.8,129.097,134.422
80,1,118.9208,0.04502,102.859,108.213,129.628,134.982
81,1,119.3926,0.04508,103.246,108.628,130.157,135.539
82,1,119.8648,0.04514,103.633,109.043,130.686,136.097
83,1,120.3374,0.0452,104.02,109.459,131.216,136.655
84,1,120.8105,0.04525,104.41,109.877,131.744,137.211
85,1,121.2843,0.04531,104.798,110.294,132.275,137.77
86,1,121.7587,0.04536,105.19,110.713,132.805,138.328
87,1,122.2338,0.04542,105.578,111.13,133.338,138.889
88,1,122.7098,0.04547,105.971,111.551,133.869,139.449
89,1,123.1868,0.04551,106.368,111.974,134.399,140.005
90,1,123.6646,0.04556,106.762,112.396,134.933,140.567
91,1,124.1435,0.04561,107.157,112.819,135.468,141.13
92,1,124.6234,0.04565,107.556,113.245,136.002,141.691
93,1,125.1045,0.04569,107.956,113.672,136.537,142.253
94,1,125.5869,0.04573,108.358,114.101,137.073,142.816
95,1,126.0706,0.04577,108.76,114.53,137.611,143.381
96,1,126.5558,0.04581,109.163,114.961,138.151,143.948
97,1,127.0424,0.04585,109.568,115.393,138.692,144.517
98,1,127.5304,0.04588,109.977,115.828,139.233,145.084
99,1,128.0199,0.04591,110.388,116.265,139.775,145.652
100,1,128.5109,0.04594,110.8,116.703,140.318,146.222
101,1,129.0035,0.04597,111.213,117.143,140.864,146.794
102,1,129.4975,0.046,111.627,117.584,141.411,147.368
103,1,129.9932,0.04602,112.046,118.029,141.958,147.94
104,1,130.4904,0.04604,112.467,118.475,142.506,148.514
105,1,130.9891,0.04607,112.885,118.92,143.058,149.093
106,1,131.4895,0.04608,113.312,119.371,143.608,149.667
107,1,131.9912,0.0461,113.737,119.822,144.161,150.246
108,1,132.4944,0.04612,114.162,120.273,144.716,150.826
109,1,132.9989,0.04613,114.593,120.728,145.269,151.405
110,1,133.5046,0.04614,115.025,121.185,145.824,151.984
111,1,134.0118,0.04615,115.458,121.643,146.381,152.566
112,1,134.5202,0.04616,115.892,122.101,146.939,153.149
113,1,135.0299,0.04616,116.331,122.564,147.496,153.729
114,1,135.541,0.04617,116.767,123.025,148.057,154.315
115,1,136.0533,0.04617,117.209,123.49,148.616,154.898
116,1,136.567,0.04616,117.655,123.959,149.175,155.479
117,1,137.0821,0.04616,118.099,124.427,149.738,156.065
118,1,137.5987,0.04616,118.544,124.896,150.302,156.653
119,1,138.1167,0.04615,118.994,125.369,150.865,157.239
120,1,138.6363,0.04614,119.446,125.843,151.43,157.826
121,1,139.1575,0.04612,119.904,126.322,151.993,158.411
122,1,139.6803,0.04611,120.358,126.799,152.562,159.002
123,1,140.2049,0.04609,120.819,127.281,153.129,159.591
124,1,140.7313,0.04607,121.281,127.764,153.698,160.182
125,1,141.2594,0.04605,121.744,128.249,154.269,160.774
126,1,141.7892,0.04603,122.21,128.736,154.842,161.369
127,1,142.3206,0.046,122.68,129.227,155.414,161.961
128,1,142.8534,0.04597,123.152,129.719,155.987,162.554
129,1,143.3874,0.04594,123.626,130.213,156.562,163.149
130,1,143.9222,0.04591,124.1,130.707,157.137,163.745
131,1,144.4575,0.04588,124.574,131.202,157.713,164.341
132,1,144.9929,0.04584,125.053,131.7,158.286,164.932
133,1,145.528,0.0458,125.532,132.198,158.858,165.524
134,1,146.0622,0.04576,126.011,132.695,159.43,166.114
135,1,146.5951,0.04571,126.493,133.193,159.997,166.698
136,1,147.1262,0.04567,126.968,133.688,160.565,167.284
137,1,147.6548,0.04562,127.447,134.183,161.127,167.863
138,1,148.1804,0.04557,127.923,134.675,161.686,168.438
139,1,148.7023,0.04552,128.396,135.164,162.24,169.009
140,1,149.2197,0.04546,128.869,135.653,162.787,169.57
141,1,149.7322,0.04541,129.334,136.134,163.331,170.13
142,1,150.239,0.04535,129.799,136.612,163.866,170.679
143,1,150.7394,0.04529,130.258,137.085,164.393,171.22
144,1,151.2327,0.04523,130.712,137.552,164.913,171.753
145,1,151.7182,0.04516,131.163,138.015,165.421,172.273
146,1,152.1951,0.0451,131.603,138.467,165.923,172.787
147,1,152.6628,0.04503,132.04,138.914,166.412,173.286
148,1,153.1206,0.04497,132.463,139.349,166.892,173.778
149,1,153.5678,0.0449,132.882,139.777,167.358,174.253
150,1,154.0041,0.04483,133.292,140.196,167.812,174.716
151,1,154.429,0.04476,133.692,140.605,168.253,175.166
152,1,154.8423,0.04468,134.087,141.006,168.679,175.597
153,1,155.2437,0.04461,134.467,141.393,169.095,176.02
154,1,155.633,0.04454,134.837,141.769,169.497,176.429
155,1,156.0101,0.04446,135.201,142.138,169.883,176.819
156,1,156.3748,0.04439,135.55,142.492,170.258,177.199
157,1,156.7269,0.04431,135.893,142.838,170.616,177.561
158,1,157.0666,0.04423,136.225,143.172,170.961,177.908
159,1,157.3936,0.04415,136.547,143.496,171.291,178.24
160,1,157.7082,0.04408,136.853,143.805,171.612,178.564
161,1,158.0102,0.044,137.153,144.105,171.915,178.868
162,1,158.2997,0.04392,137.442,144.395,172.205,179.157
163,1,158.5771,0.04384,137.721,144.673,172.481,179.433
164,1,158.8425,0.04376,137.99,144.941,172.744,179.695
165,1,159.0961,0.04369,138.243,145.194,172.998,179.949
166,1,159.3382,0.04361,138.492,145.441,173.236,180.184
167,1,159.5691,0.04353,138.731,145.677,173.461,180.407
168,1,159.789,0.04345,138.961,145.903,173.675,180.617
169,1,159.9983,0.04337,139.181,146.12,173.877,180.816
170,1,160.1971,0.0433,139.387,146.324,174.07,181.007
171,1,160.3857,0.04322,139.59,146.522,174.249,181.181
172,1,160.5643,0.04314,139.784,146.711,174.418,181.345
173,1,160.7332,0.04307,139.965,146.888,174.579,181.502
174,1,160.8927,0.04299,140.142,147.059,174.726,181.643
175,1,161.043,0.04292,140.307,147.219,174.867,181.779
176,1,161.1845,0.04284,140.469,147.374,174.995,181.9
177,1,161.3176,0.04277,140.619,147.518,175.117,182.016
178,1,161.4425,0.0427,140.762,147.655,175.23,182.123
179,1,161.5596,0.04263,140.898,147.785,175.334,182.221
180,1,161.6692,0.04255,141.032,147.911,175.427,182.306
181,1,161.7717,0.04248,141.156,148.028,175.516,182.388
182,1,161.8673,0.04241,141.273,148.138,175.597,182.462
183,1,161.9564,0.04235,141.38,148.239,175.674,182.533
184,1,162.0393,0.04228,141.486,148.337,175.741,182.592
185,1,162.1164,0.04221,141.588,148.431,175.802,182.645
186,1,162.188,0.04214,141.684,148.519,175.857,182.692
187,1,162.2542,0.04208,141.771,148.599,175.91,182.737
188,1,162.3154,0.04201,141.859,148.678,175.953,182.772
189,1,162.3719,0.04195,141.937,148.749,175.995,182.806
190,1,162.4239,0.04189,142.012,148.816,176.032,182.836
191,1,162.4717,0.04182,142.088,148.883,176.061,182.855
192,1,162.5156,0.04176,142.156,148.942,176.089,182.876
193,1,162.556,0.0417,142.22,148.999,176.113,182.892
194,1,162.5933,0.04164,142.282,149.053,176.134,182.904
195,1,162.6276,0.04158,142.341,149.103,176.152,182.914
196,1,162.6594,0.04152,142.399,149.152,176.167,182.92
197,1,162.689,0.04147,142.449,149.196,176.182,182.929
198,1,162.7165,0.04141,142.502,149.24,176.193,182.931
199,1,162.7425,0.04136,142.549,149.28,176.205,182.936
200,1,162.767,0.0413,142.6,149.322,176.212,182.934
201,1,162.7904,0.04125,142.645,149.36,176.221,182.936
202,1,162.8126,0.04119,142.694,149.4,176.225,182.931
203,1,162.834,0.04114,142.737,149.436,176.232,182.931
204,1,162.8545,0.04109,142.779,149.471,176.238,182.93
205,1,162.8743,0.04104,142.821,149.506,176.243,182.927
206,1,162.8935,0.04099,142.862,149.539,176.248,182.925
207,1,162.912,0.04094,142.903,149.573,176.251,182.921
208,1,162.93,0.04089,142.943,149.606,176.254,182.917
209,1,162.9476,0.04084,142.983,149.638,176.257,182.912
