# WHO growth reference table, vendored for PoshanNetra AI (Section 6.4).
# source_url: https://cdn.who.int/media/docs/default-source/child-growth/growth-reference-5-19-years/weight-for-age-(5-10-years)/hfa-boys-z-who-2007-exp_0ff9c43c-8cc0-4c23-9fc6-81290675e08b.xlsx
# retrieved: 2026-08-28
# sha256(source_xlsx): a6ed0d9f3cfa209747afe49f7503b7cc24a1be6b6a8e7222e85a36b7850cb99f
# key column 'Month' is in months; rows: 60
# sd* columns are WHO's OWN published cut-offs, kept only so the test
# suite can prove our LMS implementation reproduces them exactly.
key,l,m,s,sd3neg,sd2neg,sd2pos,sd3pos
61,-0.2026,18.5057,0.12988,12.718,14.367,24.165,27.77
62,-0.213,18.6802,0.13028,12.833,14.496,24.423,28.093
63,-0.2234,18.8563,0.13067,12.95,14.627,24.683,28.42
64,-0.2338,19.034,0.13105,13.067,14.759,24.946,28.75
65,-0.2443,19.2132,0.13142,13.186,14.892,25.21,29.083
66,-0.2548,19.394,0.13178,13.307,15.027,25.477,29.42
67,-0.2653,19.5765,0.13213,13.429,15.164,25.747,29.76
68,-0.2758,19.7607,0.13246,13.553,15.302,26.018,30.102
69,-0.2864,19.9468,0.13279,13.679,15.442,26.293,30.449
70,-0.2969,20.1344,0.13311,13.805,15.583,26.569,30.799
71,-0.3075,20.3235,0.13342,13.934,15.726,26.848,31.153
72,-0.318,20.5137,0.13372,14.063,15.87,27.129,31.508
73,-0.3285,20.7052,0.13402,14.193,16.015,27.412,31.868
74,-0.339,20.8979,0.13432,14.324,16.16,27.697,32.231
75,-0.3494,21.0918,0.13462,14.456,16.307,27.984,32.598
76,-0.3598,21.287,0.13493,14.588,16.454,28.275,32.969
77,-0.3701,21.4833,0.13523,14.721,16.602,28.567,33.343
78,-0.3804,21.681,0.13554,14.855,16.751,28.862,33.723
79,-0.3906,21.8799,0.13586,14.99,16.9,29.161,34.107
80,-0.4007,22.08,0.13618,15.125,17.05,29.461,34.495
81,-0.4107,22.2813,0.13652,15.259,17.201,29.765,34.889
82,-0.4207,22.4837,0.13686,15.395,17.352,30.072,35.287
83,-0.4305,22.6872,0.13722,15.531,17.503,30.382,35.692
84,-0.4402,22.8915,0.13759,15.666,17.655,30.695,36.1
85,-0.4499,23.0968,0.13797,15.802,17.807,31.011,36.515
86,-0.4594,23.3029,0.13838,15.937,17.958,31.33,36.936
87,-0.4688,23.5101,0.1388,16.072,18.11,31.653,37.363
88,-0.4781,23.7182,0.13923,16.207,18.262,31.979,37.795
89,-0.4873,23.9272,0.13969,16.341,18.414,32.309,38.236
90,-0.4964,24.1371,0.14016,16.475,18.565,32.642,38.682
91,-0.5053,24.3479,0.14065,16.609,18.717,32.979,39.135
92,-0.5142,24.5595,0.14117,16.742,18.868,33.32,39.597
93,-0.5229,24.7722,0.1417,16.875,19.019,33.665,40.065
94,-0.5315,24.9858,0.14226,17.008,19.17,34.015,40.542
95,-0.5399,25.2005,0.14284,17.14,19.321,34.368,41.027
96,-0.5482,25.4163,0.14344,17.271,19.472,34.727,41.521
97,-0.5564,25.6332,0.14407,17.402,19.622,35.091,42.025
98,-0.5644,25.8513,0.14472,17.532,19.772,35.459,42.538
99,-0.5722,26.0706,0.14539,17.662,19.922,35.832,43.06
100,-0.5799,26.2911,0.14608,17.792,20.072,36.21,43.591
101,-0.5873,26.5128,0.14679,17.921,20.222,36.593,44.131
102,-0.5946,26.7358,0.14752,18.05,20.372,36.981,44.682
103,-0.6017,26.9602,0.14828,18.178,20.522,37.376,45.244
104,-0.6085,27.1861,0.14905,18.306,20.672,37.774,45.815
105,-0.6152,27.4137,0.14984,18.433,20.822,38.179,46.397
106,-0.6216,27.6432,0.15066,18.561,20.972,38.591,46.992
107,-0.6278,27.875,0.15149,18.689,21.123,39.009,47.598
108,-0.6337,28.1092,0.15233,18.817,21.275,39.433,48.214
109,-0.6393,28.3459,0.15319,18.945,21.428,39.864,48.843
110,-0.6446,28.5854,0.15406,19.075,21.582,40.301,49.483
111,-0.6496,28.8277,0.15493,19.205,21.737,40.744,50.132
112,-0.6543,29.0731,0.15581,19.336,21.894,41.195,50.792
113,-0.6585,29.3217,0.1567,19.468,22.052,41.652,51.463
114,-0.6624,29.5736,0.1576,19.601,22.212,42.116,52.146
115,-0.6659,29.8289,0.1585,19.735,22.373,42.587,52.838
116,-0.6689,30.0877,0.1594,19.87,22.537,43.063,53.538
117,-0.6714,30.3501,0.16031,20.006,22.701,43.547,54.248
118,-0.6735,30.616,0.16122,20.143,22.868,44.038,54.968
119,-0.6752,30.8854,0.16213,20.281,23.036,44.534,55.695
120,-0.6764,31.1586,0.16305,20.42,23.206,45.038,56.434
