# WHO growth reference table, vendored for PoshanNetra AI (Section 6.4).
# source_url: https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/weight-for-age/expanded-tables/wfa-girls-zscore-expanded-tables.xlsx
# retrieved: 2026-08-28
# sha256(source_xlsx): ee3ae12cb96c6c5541cdf43665c03ce6c984f877859a183a5f6104eb06a49a6e
# key column 'Day' is in days; rows: 1857
# sd* columns are WHO's OWN published cut-offs, kept only so the test
# suite can prove our LMS implementation reproduces them exactly.
key,l,m,s,sd3neg,sd2neg,sd2pos,sd3pos
0,0.3809,3.2322,0.14171,2.033,2.395,4.23,4.793
1,0.3259,3.1957,0.14578,1.994,2.352,4.222,4.81
2,0.3101,3.2104,0.14637,2.002,2.362,4.249,4.846
3,0.2986,3.2315,0.14657,2.017,2.378,4.28,4.885
4,0.2891,3.2558,0.14658,2.034,2.397,4.314,4.925
5,0.281,3.2821,0.14646,2.053,2.418,4.349,4.967
6,0.2737,3.3099,0.14626,2.074,2.44,4.386,5.009
7,0.2671,3.3388,0.146,2.096,2.464,4.423,5.052
8,0.2609,3.3687,0.14569,2.118,2.488,4.461,5.096
9,0.2551,3.3995,0.14534,2.141,2.513,4.5,5.14
10,0.2497,3.4314,0.14498,2.165,2.54,4.54,5.186
11,0.2446,3.4643,0.14459,2.19,2.567,4.581,5.232
12,0.2397,3.4983,0.1442,2.216,2.595,4.623,5.28
13,0.2349,3.5333,0.1438,2.242,2.623,4.667,5.329
14,0.2304,3.5693,0.14339,2.269,2.653,4.712,5.379
15,0.226,3.6063,0.14299,2.297,2.683,4.758,5.431
16,0.2218,3.6438,0.14258,2.325,2.714,4.804,5.483
17,0.2177,3.6818,0.14218,2.353,2.745,4.852,5.536
18,0.2137,3.7201,0.14177,2.382,2.777,4.899,5.589
19,0.2099,3.7584,0.14138,2.41,2.808,4.946,5.642
20,0.2061,3.7968,0.14098,2.439,2.84,4.994,5.695
21,0.2024,3.8352,0.1406,2.468,2.871,5.042,5.749
22,0.1989,3.8735,0.14021,2.496,2.903,5.089,5.802
23,0.1954,3.9116,0.13984,2.525,2.934,5.136,5.854
24,0.1919,3.9495,0.13947,2.553,2.965,5.183,5.906
25,0.1886,3.9872,0.1391,2.582,2.996,5.229,5.958
26,0.1853,4.0247,0.13875,2.61,3.027,5.275,6.01
27,0.1821,4.0618,0.1384,2.638,3.058,5.321,6.061
28,0.1789,4.0987,0.13805,2.665,3.088,5.366,6.112
29,0.1758,4.1353,0.13771,2.693,3.118,5.411,6.162
30,0.1727,4.1716,0.13738,2.72,3.148,5.456,6.212
31,0.1697,4.2075,0.13706,2.747,3.178,5.5,6.261
32,0.1668,4.2431,0.13674,2.774,3.207,5.544,6.31
33,0.1638,4.2783,0.13643,2.801,3.236,5.587,6.358
34,0.161,4.3131,0.13613,2.827,3.265,5.63,6.406
35,0.1582,4.3476,0.13583,2.853,3.294,5.672,6.453
36,0.1554,4.3818,0.13554,2.879,3.322,5.714,6.5
37,0.1526,4.4155,0.13526,2.904,3.35,5.756,6.546
38,0.1499,4.449,0.13498,2.93,3.377,5.797,6.592
39,0.1473,4.482,0.1347,2.955,3.405,5.837,6.637
40,0.1446,4.5148,0.13444,2.98,3.432,5.878,6.682
41,0.142,4.5472,0.13418,3.004,3.459,5.917,6.726
42,0.1395,4.5793,0.13392,3.029,3.485,5.957,6.77
43,0.1369,4.611,0.13367,3.053,3.512,5.995,6.813
44,0.1344,4.6425,0.13342,3.077,3.538,6.034,6.856
