# WHO growth reference table, vendored for PoshanNetra AI (Section 6.4).
# source_url: https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/weight-for-length-height/expanded-tables/wfh-boys-zscore-expanded-tables.xlsx
# retrieved: 2026-08-28
# sha256(source_xlsx): ed3b590f9c65937a138408b13618f33684bb6406a0c56d6a2ce3fd9053a3f59f
# key column 'Height' is in cms; rows: 551
# sd* columns are WHO's OWN published cut-offs, kept only so the test
# suite can prove our LMS implementation reproduces them exactly.
key,l,m,s,sd3neg,sd2neg,sd2pos,sd3pos
65,-0.3521,7.4327,0.08217,5.868,6.335,8.804,9.619
65.1,-0.3521,7.4563,0.08216,5.887,6.355,8.831,9.649
65.2,-0.3521,7.4799,0.08216,5.905,6.376,8.859,9.68
65.3,-0.3521,7.5034,0.08215,5.924,6.396,8.887,9.71
65.4,-0.3521,7.5269,0.08214,5.943,6.416,8.915,9.74
65.5,-0.3521,7.5504,0.08214,5.961,6.436,8.943,9.771
65.6,-0.3521,7.5738,0.08214,5.98,6.456,8.97,9.801
65.7,-0.3521,7.5973,0.08213,5.999,6.476,8.998,9.831
65.8,-0.3521,7.6206,0.08213,6.017,6.496,9.026,9.861
65.9,-0.3521,7.644,0.08213,6.035,6.516,9.053,9.891
66,-0.3521,7.6673,0.08212,6.054,6.536,9.081,9.921
66.1,-0.3521,7.6906,0.08212,6.072,6.556,9.108,9.951
66.2,-0.3521,7.7138,0.08212,6.091,6.575,9.136,9.981
66.3,-0.3521,7.737,0.08212,6.109,6.595,9.163,10.011
66.4,-0.3521,7.7602,0.08212,6.127,6.615,9.191,10.041
66.5,-0.3521,7.7834,0.08212,6.146,6.635,9.218,10.071
66.6,-0.3521,7.8065,0.08212,6.164,6.654,9.246,10.101
66.7,-0.3521,7.8296,0.08212,6.182,6.674,9.273,10.131
66.8,-0.3521,7.8526,0.08212,6.2,6.694,9.3,10.161
66.9,-0.3521,7.8757,0.08212,6.218,6.713,9.327,10.191
67,-0.3521,7.8986,0.08213,6.236,6.733,9.355,10.221
67.1,-0.3521,7.9216,0.08213,6.255,6.752,9.382,10.251
67.2,-0.3521,7.9445,0.08213,6.273,6.772,9.409,10.28
67.3,-0.3521,7.9674,0.08214,6.291,6.791,9.436,10.31
67.4,-0.3521,7.9903,0.08214,6.309,6.811,9.464,10.34
67.5,-0.3521,8.0132,0.08214,6.327,6.83,9.491,10.369
67.6,-0.3521,8.036,0.08215,6.345,6.85,9.518,10.399
67.7,-0.3521,8.0588,0.08215,6.363,6.869,9.545,10.429
67.8,-0.3521,8.0816,0.08216,6.38,6.888,9.572,10.459
67.9,-0.3521,8.1044,0.08217,6.398,6.908,9.599,10.488
68,-0.3521,8.1272,0.08217,6.416,6.927,9.626,10.518
68.1,-0.3521,8.15,0.08218,6.434,6.946,9.654,10.548
68.2,-0.3521,8.1727,0.08219,6.452,6.966,9.681,10.578
68.3,-0.3521,8.1955,0.08219,6.47,6.985,9.708,10.607
68.4,-0.3521,8.2183,0.0822,6.488,7.004,9.735,10.637
68.5,-0.3521,8.241,0.08221,6.505,7.024,9.762,10.667
68.6,-0.3521,8.2638,0.08222,6.523,7.043,9.789,10.697
68.7,-0.3521,8.2865,0.08223,6.541,7.062,9.816,10.726
68.8,-0.3521,8.3092,0.08224,6.559,7.081,9.843,10.756
68.9,-0.3521,8.332,0.08225,6.576,7.101,9.871,10.786
69,-0.3521,8.3547,0.08226,6.594,7.12,9.898,10.816
69.1,-0.3521,8.3774,0.08227,6.612,7.139,9.925,10.845
69.2,-0.3521,8.4001,0.08228,6.63,7.158,9.952,10.875
69.3,-0.3521,8.4227,0.08229,6.647,7.177,9.979,10.905
69.4,-0.3521,8.4454,0.0823,6.665,7.197,10.006,10.934
69.5,-0.3521,8.468,0.08231,6.683,7.216,10.033,10.964
69.6,-0.3521,8.4906,0.08232,6.7,7.235,10.06,10.994
69.7,-0.3521,8.5132,0.08233,6.718,7.254,10.087,11.023
69.8,-0.3521,8.5358,0.08235,6.735,7.273,10.114,11.053
69.9,-0.3521,8.5583,0.08236,6.753,7.292,10.141,11.083
70,-0.3521,8.5808,0.08237,6.771,7.311,10.168,11.112
70.1,-0.3521,8.6032,0.08238,6.788,7.33,10.195,11.142
70.2,-0.3521,8.6257,0.0824,6.805,7.349,10.222,11.172
70.3,-0.3521,8.648,0.08241,6.823,7.368,10.248,11.201
70.4,-0.3521,8.6704,0.08242,6.84,7.387,10.275,11.23
70.5,-0.3521,8.6927,0.08243,6.858,7.406,10.302,11.259
70.6,-0.3521,8.715,0.08245,6.875,7.424,10.329,11.289
70.7,-0.3521,8.7372,0.08246,6.892,7.443,10.355,11.318
70.8,-0.3521,8.7594,0.08248,6.909,7.462,10.382,11.348
70.9,-0.3521,8.7815,0.08249,6.927,7.48,10.408,11.377
71,-0.3521,8.8036,0.0825,6.944,7.499,10.435,11.406
71.1,-0.3521,8.8257,0.08252,6.961,7.518,10.461,11.435
71.2,-0.3521,8.8477,0.08253,6.978,7.536,10.488,11.464
71.3,-0.3521,8.8697,0.08254,6.995,7.555,10.514,11.493
71.4,-0.3521,8.8916,0.08256,7.012,7.573,10.54,11.522
71.5,-0.3521,8.9135,0.08257,7.029,7.592,10.567,11.551
71.6,-0.3521,8.9353,0.08259,7.046,7.61,10.593,11.58
71.7,-0.3521,8.9571,0.0826,7.063,7.628,10.619,11.608
71.8,-0.3521,8.9788,0.08262,7.08,7.647,10.645,11.637
71.9,-0.3521,9.0005,0.08263,7.097,7.665,10.671,11.666
72,-0.3521,9.0221,0.08264,7.113,7.683,10.697,11.694
72.1,-0.3521,9.0436,0.08266,7.13,7.701,10.723,11.723
72.2,-0.3521,9.0651,0.08267,7.147,7.719,10.749,11.751
72.3,-0.3521,9.0865,0.08269,7.163,7.737,10.774,11.78
72.4,-0.3521,9.1079,0.0827,7.18,7.755,10.8,11.808
72.5,-0.3521,9.1292,0.08272,7.196,7.773,10.826,11.836
72.6,-0.3521,9.1504,0.08273,7.213,7.791,10.851,11.864
72.7,-0.3521,9.1716,0.08274,7.229,7.809,10.877,11.892
72.8,-0.3521,9.1927,0.08276,7.246,7.827,10.902,11.92
72.9,-0.3521,9.2137,0.08277,7.262,7.844,10.927,11.948
73,-0.3521,9.2347,0.08278,7.278,7.862,10.952,11.975
73.1,-0.3521,9.2557,0.0828,7.294,7.88,10.978,12.003
73.2,-0.3521,9.2766,0.08281,7.311,7.897,11.003,12.031
73.3,-0.3521,9.2974,0.08283,7.327,7.915,11.028,12.059
73.4,-0.3521,9.3182,0.08284,7.343,7.932,11.053,12.086
73.5,-0.3521,9.339,0.08285,7.359,7.95,11.078,12.113
73.6,-0.3521,9.3597,0.08287,7.375,7.967,11.103,12.141
73.7,-0.3521,9.3803,0.08288,7.391,7.985,11.127,12.168
73.8,-0.3521,9.401,0.08289,7.407,8.002,11.152,12.195
73.9,-0.3521,9.4215,0.0829,7.423,8.019,11.177,12.222
74,-0.3521,9.442,0.08292,7.439,8.036,11.201,12.25
74.1,-0.3521,9.4625,0.08293,7.455,8.054,11.226,12.277
74.2,-0.3521,9.4829,0.08294,7.471,8.071,11.25,12.304
74.3,-0.3521,9.5032,0.08295,7.486,8.088,11.275,12.33
74.4,-0.3521,9.5235,0.08297,7.502,8.105,11.299,12.357
74.5,-0.3521,9.5438,0.08298,7.518,8.122,11.324,12.384
74.6,-0.3521,9.5639,0.08299,7.533,8.139,11.348,12.411
74.7,-0.3521,9.5841,0.083,7.549,8.156,11.372,12.437
74.8,-0.3521,9.6041,0.08301,7.565,8.173,11.396,12.464
74.9,-0.3521,9.6241,0.08302,7.58,8.19,11.42,12.49
75,-0.3521,9.644,0.08303,7.596,8.207,11.444,12.516
75.1,-0.3521,9.6639,0.08305,7.611,8.223,11.468,12.543
75.2,-0.3521,9.6836,0.08306,7.626,8.24,11.492,12.569
75.3,-0.3521,9.7033,0.08307,7.641,8.257,11.515,12.595
75.4,-0.3521,9.723,0.08307,7.657,8.273,11.539,12.621
75.5,-0.3521,9.7425,0.08308,7.672,8.29,11.562,12.646
75.6,-0.3521,9.762,0.08309,7.687,8.306,11.585,12.672
75.7,-0.3521,9.7814,0.0831,7.702,8.323,11.609,12.698
75.8,-0.3521,9.8007,0.08311,7.717,8.339,11.632,12.723
75.9,-0.3521,9.82,0.08312,7.732,8.355,11.655,12.749
76,-0.3521,9.8392,0.08312,7.747,8.371,11.678,12.773
76.1,-0.3521,9.8583,0.08313,7.762,8.387,11.701,12.799
76.2,-0.3521,9.8773,0.08314,7.777,8.403,11.723,12.824
76.3,-0.3521,9.8963,0.08314,7.792,8.42,11.746,12.848
76.4,-0.3521,9.9152,0.08315,7.807,8.436,11.769,12.873
76.5,-0.3521,9.9341,0.08315,7.821,8.452,11.791,12.898
76.6,-0.3521,9.9528,0.08316,7.836,8.467,11.813,12.923
76.7,-0.3521,9.9716,0.08316,7.851,8.483,11.836,12.947
76.8,-0.3521,9.9902,0.08317,7.865,8.499,11.858,12.972
76.9,-0.3521,10.0088,0.08317,7.88,8.515,11.88,12.996
77,-0.3521,10.0274,0.08317,7.895,8.531,11.902,13.02
77.1,-0.3521,10.0459,0.08318,7.909,8.546,11.925,13.044
77.2,-0.3521,10.0643,0.08318,7.923,8.562,11.946,13.068
77.3,-0.3521,10.0827,0.08318,7.938,8.578,11.968,13.092
77.4,-0.3521,10.1011,0.08318,7.952,8.593,11.99,13.116
77.5,-0.3521,10.1194,0.08318,7.967,8.609,12.012,13.14
77.6,-0.3521,10.1377,0.08318,7.981,8.624,12.033,13.164
77.7,-0.3521,10.1559,0.08318,7.995,8.64,12.055,13.187
77.8,-0.3521,10.1741,0.08318,8.01,8.655,12.077,13.211
77.9,-0.3521,10.1923,0.08317,8.024,8.671,12.098,13.234
78,-0.3521,10.2105,0.08317,8.039,8.686,12.12,13.258
78.1,-0.3521,10.2286,0.08317,8.053,8.702,12.141,13.281
78.2,-0.3521,10.2468,0.08316,8.067,8.718,12.162,13.304
78.3,-0.3521,10.2649,0.08316,8.082,8.733,12.184,13.328
78.4,-0.3521,10.2831,0.08315,8.096,8.749,12.205,13.351
78.5,-0.3521,10.3012,0.08315,8.111,8.764,12.227,13.375
78.6,-0.3521,10.3194,0.08314,8.125,8.78,12.248,13.398
78.7,-0.3521,10.3376,0.08313,8.14,8.795,12.269,13.421
78.8,-0.3521,10.3558,0.08313,8.154,8.811,12.291,13.445
78.9,-0.3521,10.3741,0.08312,8.169,8.826,12.313,13.468
79,-0.3521,10.3923,0.08311,8.183,8.842,12.334,13.491
79.1,-0.3521,10.4107,0.0831,8.198,8.858,12.355,13.514
79.2,-0.3521,10.4291,0.08309,8.213,8.874,12.377,13.538
79.3,-0.3521,10.4475,0.08308,8.227,8.89,12.399,13.561
79.4,-0.3521,10.466,0.08307,8.242,8.906,12.42,13.585
79.5,-0.3521,10.4845,0.08305,8.257,8.922,12.442,13.608
79.6,-0.3521,10.5031,0.08304,8.272,8.938,12.464,13.632
79.7,-0.3521,10.5217,0.08303,8.287,8.954,12.485,13.655
79.8,-0.3521,10.5405,0.08301,8.302,8.97,12.507,13.679
79.9,-0.3521,10.5592,0.083,8.317,8.986,12.529,13.703
80,-0.3521,10.5781,0.08298,8.332,9.002,12.551,13.726
80.1,-0.3521,10.597,0.08297,8.348,9.019,12.573,13.75
80.2,-0.3521,10.6161,0.08295,8.363,9.035,12.595,13.774
80.3,-0.3521,10.6352,0.08293,8.379,9.052,12.617,13.798
80.4,-0.3521,10.6544,0.08291,8.394,9.069,12.64,13.822
80.5,-0.3521,10.6737,0.0829,8.41,9.085,12.662,13.847
80.6,-0.3521,10.6931,0.08288,8.425,9.102,12.685,13.871
80.7,-0.3521,10.7126,0.08286,8.441,9.119,12.707,13.895
80.8,-0.3521,10.7322,0.08284,8.457,9.136,12.73,13.92
80.9,-0.3521,10.752,0.08282,8.473,9.153,12.753,13.945
81,-0.3521,10.7718,0.08279,8.489,9.171,12.776,13.969
81.1,-0.3521,10.7918,0.08277,8.506,9.188,12.799,13.994
81.2,-0.3521,10.8119,0.08275,8.522,9.205,12.822,14.019
81.3,-0.3521,10.8321,0.08273,8.538,9.223,12.845,14.044
