# WHO growth reference table, vendored for PoshanNetra AI (Section 6.4).
# source_url: https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/weight-for-length-height/expanded-tables/wfh-girls-zscore-expanded-tables.xlsx
# retrieved: 2026-08-28
# sha256(source_xlsx): fca340d5f04aa1556ac410b176b65b290e1b9ff467fc854a97f9b54ad94c9b8a
# key column 'Height' is in cms; rows: 551
# sd* columns are WHO's OWN published cut-offs, kept only so the test
# suite can prove our LMS implementation reproduces them exactly.
key,l,m,s,sd3neg,sd2neg,sd2pos,sd3pos
65,-0.3833,7.2402,0.09113,5.583,6.071,8.746,9.664
65.1,-0.3833,7.2627,0.09112,5.6,6.09,8.773,9.694
65.2,-0.3833,7.2852,0.09111,5.618,6.109,8.8,9.724
65.3,-0.3833,7.3076,0.0911,5.635,6.128,8.827,9.753
65.4,-0.3833,7.33,0.09109,5.652,6.146,8.854,9.783
65.5,-0.3833,7.3523,0.09109,5.67,6.165,8.881,9.813
65.6,-0.3833,7.3745,0.09108,5.687,6.184,8.907,9.842
65.7,-0.3833,7.3967,0.09107,5.704,6.203,8.934,9.871
65.8,-0.3833,7.4189,0.09106,5.721,6.221,8.96,9.901
65.9,-0.3833,7.441,0.09105,5.739,6.24,8.987,9.93
66,-0.3833,7.463,0.09104,5.756,6.259,9.013,9.959
66.1,-0.3833,7.485,0.09103,5.773,6.277,9.04,9.988
66.2,-0.3833,7.5069,0.09102,5.79,6.296,9.066,10.017
66.3,-0.3833,7.5288,0.09101,5.807,6.314,9.092,10.046
66.4,-0.3833,7.5507,0.091,5.824,6.333,9.118,10.074
66.5,-0.3833,7.5724,0.09099,5.841,6.351,9.144,10.103
66.6,-0.3833,7.5942,0.09098,5.858,6.369,9.171,10.132
66.7,-0.3833,7.6158,0.09097,5.875,6.388,9.196,10.16
66.8,-0.3833,7.6375,0.09096,5.892,6.406,9.222,10.189
66.9,-0.3833,7.659,0.09095,5.908,6.424,9.248,10.217
67,-0.3833,7.6806,0.09094,5.925,6.442,9.274,10.246
67.1,-0.3833,7.702,0.09093,5.942,6.46,9.3,10.274
67.2,-0.3833,7.7234,0.09091,5.959,6.479,9.325,10.302
67.3,-0.3833,7.7448,0.0909,5.975,6.497,9.351,10.33
67.4,-0.3833,7.7661,0.09089,5.992,6.515,9.376,10.358
67.5,-0.3833,7.7874,0.09088,6.009,6.533,9.402,10.386
67.6,-0.3833,7.8086,0.09087,6.025,6.55,9.427,10.414
67.7,-0.3833,7.8298,0.09086,6.042,6.568,9.453,10.442
67.8,-0.3833,7.8509,0.09085,6.058,6.586,9.478,10.47
67.9,-0.3833,7.872,0.09084,6.075,6.604,9.503,10.498
68,-0.3833,7.893,0.09083,6.091,6.622,9.528,10.525
68.1,-0.3833,7.914,0.09082,6.107,6.64,9.553,10.553
68.2,-0.3833,7.935,0.0908,6.124,6.657,9.578,10.58
68.3,-0.3833,7.9559,0.09079,6.14,6.675,9.603,10.608
