# WHO growth reference table, vendored for PoshanNetra AI (Section 6.4).
# source_url: https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/weight-for-length-height/expanded-tables/wfl-boys-zscore-expanded-table.xlsx
# retrieved: 2026-08-28
# sha256(source_xlsx): 1a6e9a002d2692d038161bc6572a10f8b9fa0657163808141d2981a2132c59cc
# key column 'Length' is in cms; rows: 651
# sd* columns are WHO's OWN published cut-offs, kept only so the test
# suite can prove our LMS implementation reproduces them exactly.
key,l,m,s,sd3neg,sd2neg,sd2pos,sd3pos
45,-0.3521,2.441,0.09182,1.877,2.043,2.951,3.261
45.1,-0.3521,2.4577,0.09176,1.89,2.057,2.971,3.283
45.2,-0.3521,2.4744,0.0917,1.903,2.072,2.991,3.305
45.3,-0.3521,2.4911,0.09164,1.916,2.086,3.011,3.326
45.4,-0.3521,2.5078,0.09159,1.929,2.1,3.031,3.348
45.5,-0.3521,2.5244,0.09153,1.942,2.114,3.05,3.37
45.6,-0.3521,2.5411,0.09147,1.956,2.128,3.07,3.391
45.7,-0.3521,2.5578,0.09141,1.969,2.142,3.09,3.413
45.8,-0.3521,2.5744,0.09135,1.982,2.157,3.109,3.434
45.9,-0.3521,2.5911,0.09129,1.995,2.171,3.129,3.456
46,-0.3521,2.6077,0.09124,2.008,2.185,3.149,3.477
46.1,-0.3521,2.6244,0.09118,2.021,2.199,3.169,3.499
46.2,-0.3521,2.6411,0.09112,2.034,2.213,3.188,3.521
46.3,-0.3521,2.6578,0.09106,2.048,2.228,3.208,3.542
46.4,-0.3521,2.6745,0.091,2.061,2.242,3.228,3.564
46.5,-0.3521,2.6913,0.09094,2.074,2.256,3.248,3.585
46.6,-0.3521,2.7081,0.09088,2.087,2.271,3.268,3.607
46.7,-0.3521,2.7249,0.09083,2.101,2.285,3.288,3.629
46.8,-0.3521,2.7417,0.09077,2.114,2.299,3.307,3.65
46.9,-0.3521,2.7586,0.09071,2.127,2.314,3.327,3.672
47,-0.3521,2.7755,0.09065,2.141,2.328,3.347,3.694
47.1,-0.3521,2.7925,0.09059,2.154,2.343,3.367,3.716
47.2,-0.3521,2.8095,0.09053,2.168,2.357,3.388,3.738
47.3,-0.3521,2.8266,0.09047,2.181,2.372,3.408,3.76
47.4,-0.3521,2.8437,0.09042,2.195,2.386,3.428,3.782
47.5,-0.3521,2.8609,0.09036,2.208,2.401,3.448,3.804
47.6,-0.3521,2.8782,0.0903,2.222,2.416,3.469,3.826
47.7,-0.3521,2.8955,0.09024,2.236,2.431,3.489,3.848
47.8,-0.3521,2.9129,0.09018,2.25,2.446,3.51,3.871
47.9,-0.3521,2.9304,0.09012,2.263,2.461,3.53,3.893
48,-0.3521,2.948,0.09007,2.277,2.476,3.551,3.916
48.1,-0.3521,2.9657,0.09001,2.291,2.491,3.572,3.939
48.2,-0.3521,2.9835,0.08995,2.306,2.506,3.593,3.962
48.3,-0.3521,3.0014,0.08989,2.32,2.521,3.614,3.985
48.4,-0.3521,3.0195,0.08983,2.334,2.537,3.635,4.008
48.5,-0.3521,3.0377,0.08977,2.349,2.552,3.657,4.031
48.6,-0.3521,3.056,0.08972,2.363,2.568,3.678,4.055
48.7,-0.3521,3.0745,0.08966,2.378,2.584,3.7,4.078
48.8,-0.3521,3.0931,0.0896,2.393,2.6,3.722,4.102
48.9,-0.3521,3.1119,0.08954,2.407,2.616,3.744,4.126
49,-0.3521,3.1308,0.08948,2.422,2.632,3.766,4.151
49.1,-0.3521,3.1499,0.08943,2.438,2.648,3.789,4.175
49.2,-0.3521,3.1691,0.08937,2.453,2.665,3.812,4.2
49.3,-0.3521,3.1884,0.08931,2.468,2.681,3.834,4.225
49.4,-0.3521,3.2079,0.08925,2.484,2.698,3.857,4.25
49.5,-0.3521,3.2276,0.08919,2.499,2.715,3.881,4.275
49.6,-0.3521,3.2473,0.08913,2.515,2.732,3.904,4.3
49.7,-0.3521,3.2672,0.08908,2.531,2.749,3.927,4.326
49.8,-0.3521,3.2873,0.08902,2.547,2.766,3.951,4.352
49.9,-0.3521,3.3075,0.08896,2.563,2.783,3.975,4.377
50,-0.3521,3.3278,0.0889,2.579,2.801,3.999,4.403
50.1,-0.3521,3.3482,0.08884,2.595,2.818,4.023,4.43
50.2,-0.3521,3.3688,0.08878,2.612,2.836,4.047,4.456
50.3,-0.3521,3.3894,0.08872,2.628,2.853,4.071,4.482
50.4,-0.3521,3.4102,0.08867,2.645,2.871,4.096,4.509
50.5,-0.3521,3.4311,0.08861,2.661,2.889,4.12,4.536
50.6,-0.3521,3.4522,0.08855,2.678,2.907,4.145,4.563
50.7,-0.3521,3.4733,0.08849,2.695,2.925,4.17,4.59
50.8,-0.3521,3.4946,0.08843,2.712,2.944,4.195,4.617
50.9,-0.3521,3.5161,0.08837,2.729,2.962,4.22,4.644
51,-0.3521,3.5376,0.08831,2.746,2.981,4.245,4.672
51.1,-0.3521,3.5593,0.08825,2.763,2.999,4.271,4.7
51.2,-0.3521,3.5812,0.08819,2.781,3.018,4.296,4.728
51.3,-0.3521,3.6032,0.08813,2.798,3.037,4.322,4.756
51.4,-0.3521,3.6254,0.08807,2.816,3.056,4.348,4.784
51.5,-0.3521,3.6477,0.08801,2.834,3.075,4.375,4.813
51.6,-0.3521,3.6702,0.08795,2.852,3.094,4.401,4.841
51.7,-0.3521,3.6929,0.08789,2.87,3.114,4.428,4.87
51.8,-0.3521,3.7157,0.08783,2.888,3.133,4.454,4.899
51.9,-0.3521,3.7388,0.08777,2.907,3.153,4.482,4.929
52,-0.3521,3.762,0.08771,2.925,3.173,4.509,4.958
52.1,-0.3521,3.7855,0.08765,2.944,3.193,4.536,4.988
52.2,-0.3521,3.8092,0.08759,2.963,3.214,4.564,5.019
52.3,-0.3521,3.833,0.08753,2.982,3.234,4.592,5.049
52.4,-0.3521,3.8571,0.08747,3.001,3.255,4.62,5.08
52.5,-0.3521,3.8814,0.08741,3.02,3.276,4.649,5.111
52.6,-0.3521,3.9059,0.08735,3.04,3.297,4.678,5.142
52.7,-0.3521,3.9306,0.08729,3.06,3.318,4.707,5.173
52.8,-0.3521,3.9555,0.08723,3.08,3.339,4.736,5.205
52.9,-0.3521,3.9806,0.08717,3.1,3.361,4.765,5.237
53,-0.3521,4.006,0.08711,3.12,3.383,4.795,5.27
53.1,-0.3521,4.0315,0.08705,3.14,3.405,4.825,5.302
53.2,-0.3521,4.0572,0.08699,3.161,3.427,4.855,5.335
53.3,-0.3521,4.0831,0.08693,3.182,3.449,4.885,5.368
53.4,-0.3521,4.1092,0.08687,3.202,3.472,4.916,5.401
53.5,-0.3521,4.1354,0.08681,3.223,3.494,4.947,5.434
53.6,-0.3521,4.1619,0.08675,3.245,3.517,4.978,5.468
53.7,-0.3521,4.1885,0.08669,3.266,3.54,5.009,5.502
53.8,-0.3521,4.2153,0.08663,3.287,3.563,5.04,5.536
53.9,-0.3521,4.2422,0.08657,3.309,3.586,5.072,5.57
54,-0.3521,4.2693,0.08651,3.33,3.609,5.104,5.605
54.1,-0.3521,4.2965,0.08645,3.352,3.633,5.136,5.639
54.2,-0.3521,4.3239,0.08639,3.374,3.656,5.168,5.674
54.3,-0.3521,4.3513,0.08633,3.396,3.68,5.2,5.709
54.4,-0.3521,4.3789,0.08627,3.418,3.704,5.232,5.744
54.5,-0.3521,4.4066,0.08621,3.44,3.727,5.264,5.779
54.6,-0.3521,4.4344,0.08615,3.463,3.751,5.297,5.815
54.7,-0.3521,4.4623,0.0861,3.485,3.775,5.33,5.85
54.8,-0.3521,4.4903,0.08604,3.507,3.799,5.363,5.886
