# WHO growth reference table, vendored for PoshanNetra AI (Section 6.4).
# source_url: https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/weight-for-length-height/expanded-tables/wfl-girls-zscore-expanded-table.xlsx
# retrieved: 2026-08-28
# sha256(source_xlsx): ec116b8e618ad311d34a87231346badf16c75f5c4f82222ec846e05c582bf16a
# key column 'Length' is in cms; rows: 651
# sd* columns are WHO's OWN published cut-offs, kept only so the test
# suite can prove our LMS implementation reproduces them exactly.
key,l,m,s,sd3neg,sd2neg,sd2pos,sd3pos
45,-0.3833,2.4607,0.09029,1.902,2.066,2.967,3.275
45.1,-0.3833,2.4777,0.0903,1.915,2.081,2.988,3.298
45.2,-0.3833,2.4947,0.0903,1.928,2.095,3.008,3.321
45.3,-0.3833,2.5117,0.09031,1.941,2.109,3.029,3.343
45.4,-0.3833,2.5287,0.09032,1.954,2.123,3.049,3.366
45.5,-0.3833,2.5457,0.09033,1.967,2.138,3.07,3.389
45.6,-0.3833,2.5627,0.09033,1.98,2.152,3.09,3.412
45.7,-0.3833,2.5797,0.09034,1.993,2.166,3.111,3.434
45.8,-0.3833,2.5967,0.09035,2.006,2.18,3.131,3.457
45.9,-0.3833,2.6137,0.09036,2.02,2.195,3.152,3.48
46,-0.3833,2.6306,0.09037,2.033,2.209,3.172,3.502
46.1,-0.3833,2.6476,0.09037,2.046,2.223,3.193,3.525
46.2,-0.3833,2.6646,0.09038,2.059,2.237,3.214,3.548
46.3,-0.3833,2.6816,0.09039,2.072,2.252,3.234,3.571
46.4,-0.3833,2.6986,0.0904,2.085,2.266,3.255,3.593
46.5,-0.3833,2.7155,0.0904,2.098,2.28,3.275,3.616
46.6,-0.3833,2.7326,0.09041,2.111,2.294,3.296,3.639
46.7,-0.3833,2.7496,0.09042,2.124,2.309,3.316,3.662
46.8,-0.3833,2.7666,0.09043,2.137,2.323,3.337,3.684
46.9,-0.3833,2.7837,0.09044,2.15,2.337,3.358,3.707
47,-0.3833,2.8007,0.09044,2.164,2.351,3.378,3.73
47.1,-0.3833,2.8179,0.09045,2.177,2.366,3.399,3.753
47.2,-0.3833,2.835,0.09046,2.19,2.38,3.42,3.776
47.3,-0.3833,2.8522,0.09047,2.203,2.394,3.44,3.799
47.4,-0.3833,2.8694,0.09047,2.216,2.409,3.461,3.822
47.5,-0.3833,2.8867,0.09048,2.23,2.423,3.482,3.845
47.6,-0.3833,2.9041,0.09049,2.243,2.438,3.503,3.868
47.7,-0.3833,2.9215,0.0905,2.256,2.452,3.524,3.891
47.8,-0.3833,2.939,0.0905,2.27,2.467,3.545,3.915
47.9,-0.3833,2.9565,0.09051,2.283,2.482,3.567,3.938
48,-0.3833,2.9741,0.09052,2.297,2.497,3.588,3.962
48.1,-0.3833,2.9918,0.09053,2.311,2.511,3.609,3.986
48.2,-0.3833,3.0096,0.09054,2.324,2.526,3.631,4.009
48.3,-0.3833,3.0275,0.09054,2.338,2.541,3.652,4.033
48.4,-0.3833,3.0455,0.09055,2.352,2.556,3.674,4.057
48.5,-0.3833,3.0636,0.09056,2.366,2.571,3.696,4.082
48.6,-0.3833,3.0818,0.09057,2.38,2.587,3.718,4.106
48.7,-0.3833,3.1001,0.09057,2.394,2.602,3.74,4.13
48.8,-0.3833,3.1186,0.09058,2.408,2.618,3.763,4.155
48.9,-0.3833,3.1372,0.09059,2.423,2.633,3.785,4.18
49,-0.3833,3.156,0.0906,2.437,2.649,3.808,4.205
49.1,-0.3833,3.1749,0.09061,2.451,2.665,3.831,4.231
49.2,-0.3833,3.1939,0.09061,2.466,2.681,3.854,4.256
49.3,-0.3833,3.2131,0.09062,2.481,2.697,3.877,4.282
49.4,-0.3833,3.2325,0.09063,2.496,2.713,3.901,4.308
49.5,-0.3833,3.252,0.09064,2.511,2.729,3.924,4.334
49.6,-0.3833,3.2717,0.09065,2.526,2.746,3.948,4.36
49.7,-0.3833,3.2915,0.09065,2.541,2.762,3.972,4.387
49.8,-0.3833,3.3114,0.09066,2.557,2.779,3.996,4.413
49.9,-0.3833,3.3316,0.09067,2.572,2.796,4.02,4.44
50,-0.3833,3.3518,0.09068,2.588,2.813,4.045,4.467
50.1,-0.3833,3.3723,0.09069,2.603,2.83,4.07,4.495
50.2,-0.3833,3.3929,0.09069,2.619,2.847,4.095,4.522
50.3,-0.3833,3.4136,0.0907,2.635,2.865,4.12,4.55
50.4,-0.3833,3.4346,0.09071,2.651,2.882,4.145,4.578
50.5,-0.3833,3.4557,0.09072,2.668,2.9,4.171,4.606
50.6,-0.3833,3.4769,0.09073,2.684,2.917,4.196,4.635
50.7,-0.3833,3.4983,0.09074,2.7,2.935,4.222,4.664
50.8,-0.3833,3.5199,0.09074,2.717,2.953,4.248,4.692
50.9,-0.3833,3.5417,0.09075,2.734,2.972,4.275,4.722
51,-0.3833,3.5636,0.09076,2.75,2.99,4.301,4.751
51.1,-0.3833,3.5856,0.09077,2.767,3.008,4.328,4.78
51.2,-0.3833,3.6078,0.09078,2.784,3.027,4.355,4.81
51.3,-0.3833,3.6302,0.09079,2.802,3.046,4.382,4.84
51.4,-0.3833,3.6527,0.0908,2.819,3.065,4.409,4.87
51.5,-0.3833,3.6754,0.0908,2.836,3.084,4.437,4.901
51.6,-0.3833,3.6982,0.09081,2.854,3.103,4.464,4.931
51.7,-0.3833,3.7212,0.09082,2.872,3.122,4.492,4.962
51.8,-0.3833,3.7444,0.09083,2.889,3.141,4.52,4.993
51.9,-0.3833,3.7677,0.09084,2.907,3.161,4.548,5.024
52,-0.3833,3.7911,0.09085,2.925,3.18,4.577,5.056
52.1,-0.3833,3.8147,0.09086,2.944,3.2,4.605,5.087
52.2,-0.3833,3.8385,0.09086,2.962,3.22,4.634,5.119
52.3,-0.3833,3.8623,0.09087,2.98,3.24,4.663,5.151
52.4,-0.3833,3.8863,0.09088,2.999,3.26,4.692,5.183
52.5,-0.3833,3.9105,0.09089,3.017,3.28,4.721,5.216
52.6,-0.3833,3.9348,0.0909,3.036,3.301,4.751,5.248
52.7,-0.3833,3.9592,0.09091,3.055,3.321,4.78,5.281
52.8,-0.3833,3.9837,0.09092,3.073,3.342,4.81,5.314
52.9,-0.3833,4.0084,0.09093,3.092,3.362,4.84,5.347
53,-0.3833,4.0332,0.09093,3.112,3.383,4.87,5.38
53.1,-0.3833,4.0581,0.09094,3.131,3.404,4.9,5.413
53.2,-0.3833,4.0832,0.09095,3.15,3.425,4.93,5.447
53.3,-0.3833,4.1084,0.09096,3.169,3.446,4.961,5.481
53.4,-0.3833,4.1337,0.09097,3.189,3.467,4.992,5.515
53.5,-0.3833,4.1591,0.09098,3.208,3.488,5.022,5.549
53.6,-0.3833,4.1846,0.09099,3.228,3.51,5.053,5.583
53.7,-0.3833,4.2102,0.09099,3.248,3.531,5.084,5.617
53.8,-0.3833,4.2359,0.091,3.267,3.553,5.115,5.652
53.9,-0.3833,4.2617,0.09101,3.287,3.574,5.147,5.686
54,-0.3833,4.2875,0.09102,3.307,3.596,5.178,5.721
54.1,-0.3833,4.3135,0.09103,3.327,3.617,5.209,5.756
54.2,-0.3833,4.3395,0.09104,3.347,3.639,5.241,5.791
54.3,-0.3833,4.3655,0.09105,3.367,3.661,5.272,5.826
54.4,-0.3833,4.3917,0.09105,3.387,3.683,5.304,5.861
54.5,-0.3833,4.4179,0.09106,3.407,3.705,5.336,5.896
54.6,-0.3833,4.4442,0.09107,3.427,3.727,5.368,5.931
54.7,-0.3833,4.4705,0.09108,3.447,3.749,5.4,5.966
54.8,-0.3833,4.4969,0.09109,3.468,3.771,5.432,6.002
54.9,-0.3833,4.5233,0.09109,3.488,3.793,5.464,6.037
55,-0.3833,4.5498,0.0911,3.508,3.815,5.496,6.073
55.1,-0.3833,4.5763,0.09111,3.529,3.837,5.528,6.108
55.2,-0.3833,4.6029,0.09112,3.549,3.859,5.56,6.144
55.3,-0.3833,4.6295,0.09113,3.57,3.882,5.592,6.18
55.4,-0.3833,4.6561,0.09113,3.59,3.904,5.624,6.215
55.5,-0.3833,4.6827,0.09114,3.611,3.926,5.657,6.251
55.6,-0.3833,4.7094,0.09115,3.631,3.949,5.689,6.287
55.7,-0.3833,4.7361,0.09116,3.652,3.971,5.721,6.323
55.8,-0.3833,4.7628,0.09116,3.672,3.993,5.754,6.358
55.9,-0.3833,4.7895,0.09117,3.693,4.016,5.786,6.394
56,-0.3833,4.8162,0.09118,3.713,4.038,5.818,6.43
56.1,-0.3833,4.843,0.09119,3.734,4.06,5.851,6.466
56.2,-0.3833,4.8697,0.09119,3.754,4.083,5.883,6.502
56.3,-0.3833,4.8964,0.0912,3.775,4.105,5.916,6.537
56.4,-0.3833,4.9232,0.09121,3.795,4.127,5.948,6.573
56.5,-0.3833,4.95,0.09121,3.816,4.15,5.98,6.609
56.6,-0.3833,4.9767,0.09122,3.836,4.172,6.013,6.645
56.7,-0.3833,5.0034,0.09123,3.857,4.194,6.045,6.681
56.8,-0.3833,5.0302,0.09123,3.878,4.217,6.078,6.717
56.9,-0.3833,5.0569,0.09124,3.898,4.239,6.11,6.753
