# Indian Food Composition Tables 2017 (ICMR-National Institute of Nutrition).
# Vendored for PoshanNetra AI (master prompt, Section 4).
# source_package: @ifct2017/compositions@2.0.9 (npm, MIT)
# source_tarball: https://registry.npmjs.org/@ifct2017/compositions/-/compositions-2.0.9.tgz
# sha256(tarball): 623e31d4ea355cc829429c2d8e776fbdb5eba953ea713bad2b01c962d3e2cfd5
# retrieved: 2026-08-28
# upstream_publication: https://www.nin.res.in/ebooks/IFCT2017.pdf
# ATTRIBUTION REQUIRED: any surface that shows these numbers must credit
#   'Indian Food Composition Tables 2017, ICMR-National Institute of Nutrition'.
# Energy is in KILOJOULES, as IFCT publishes it. kcal conversion happens in
#   app/nutrition/ifct.py and is unit-tested. Edible oils and fats are
#   published with energy_kj = 0; energy for those is derived from macros.
# *_e columns are IFCT's own national variability across six sampled regions.
# Values are per 100 g of RAW edible portion -- not cooked. See
#   app/nutrition/recipes.py for how cooked dishes are converted.
code,name,scientific_name,local_names,food_group,tags,energy_kj,energy_kj_e,protein_g,protein_g_e,carbohydrate_g,carbohydrate_g_e,fat_g,fat_g_e,fibre_g,water_g,hindi_name
A001,"Amaranth seed, black",Amaranthus cruentus,A. Moricha guti; H. Ramdana; Kan. Danthu beeja; Kash. Mawal; Mal. Cheera vithu; M. Chengkruk Maru; Mar. Cavali biya; O. Kosala sag manji Dhala; P. Chaulali beej; Tam. Keerai vidai; Tel. Thotakoora ginjalu.,Cereals and Millets,vegetarian eggetarian fishetarian veg,1490,0,14.59,0,59.98,0,5.74,0,7.02,9.89,Ramdana
A002,"Amaranth seed, pale brown",Amaranthus cruentus,A. Moricha guti; G. Rajagaro; H. Ramdana; Kan. Danthu beeja; Kash. Mawal; Mal. Cheera vithu; M. Chengkruk Maru; Mar. Cavali biya; O. Kosala sag maji kale; P. Chaulali beej; Tam. Keerai vidai; Tel. Thotakoora ginjalu.,Cereals and Millets,vegetarian eggetarian fishetarian veg,1489,10,13.27,0.34,61.46,0.6,5.56,0.33,7.47,9.2,Ramdana
A003,Bajra,Pennisetum typhoideum,"A., Kash. Baajra; B. Bajra; E. Pearl millet; G. Bajri; H. Bajra; Kan. Sajje; Kh. Krai; Mal. Kambam; Mar. Bajra; N. Bajara; O. Bajra; P. Bajra; Tam. Kambu; Tel. Sajjalu; U. Bajra.",Cereals and Millets,vegetarian eggetarian fishetarian veg,1456,18,10.96,0.26,61.78,0.85,5.43,0.64,11.49,8.97,Bajra
A004,Barley,Hordeum vulgare,A. Barli; B. Barley; G. Jav; H. Jau; Kan. Barley; Kash. Wushke; Kh. Krai; Mal. Barley; Mar. Sath; N. Jau; O. Jaba; P. Jao; S. Yava; Tam. Baarli Arisi; Tel. Barley; U. Jau.,Cereals and Millets,vegetarian eggetarian fishetarian veg,1321,19,10.94,0.51,61.29,0.77,1.3,0.2,15.64,9.77,Jau
A005,Jowar,Sorghum vulgare,A. Jowar; B. Jowar; E. Sorghum; G. Jowar; H. Jowar; Kan. Jolada; Kash. Pingu; Kh. Krai; Mal. irunku; Mar. Jondhahlaa; O. Janha; P. Javara; Tam. Cholam; Tel. Jonna; U. Jowar.,Cereals and Millets,vegetarian eggetarian fishetarian veg,1398,13,9.97,0.43,67.68,1.03,1.73,0.31,10.22,9.01,Jowar
A006,"Maize, dry",Zea mays,A. Makoi; B. Bhutta; E. Corn; G. Makai; H. Makka; Kan. Mekke jola; Kash. Makai; Kh. Symbai riewhadem stem; Mal. Maize; M. Chujaak; Mar. Maka; N. Sukha makai; O. Maka; P. Chhali; S. Yaavanaala; Tam. Makka Cholam; Tel. Mokkajonna; U. makai.,Cereals and Millets,vegetarian eggetarian fishetarian veg,1398,25,8.8,0.49,64.77,1.58,3.77,0.48,12.24,9.26,Makka
A007,"Maize, tender, local",Zea mays,A. Makoi; B. Bhutta; E. Corn; G. Lili makai; H. Makka; Kan. Mekke jola; Kash. Makai; Kh. Riewhadem Stem; Mal. Maize; M. Chujaak; Mar. Maka; N. Makai; O. Maka; P. Chhali; Tam. Makka Cholam; Tel. Mokkajonna; U. Makai.,Cereals and Millets,vegetarian eggetarian fishetarian veg,502,7,3.57,0.42,22.69,0.94,1.4,0.3,3.67,68.29,Makka
A008,"Maize, tender, sweet",Zea mays,A. Makoi; B. Bhutta; E. Corn; G. Lili makai; H. Makka; Kan. Mekke jola; Kash. Makai; Kh. Riewhadem lieh; Mal. Maize; M. Chujaak; Mar. Maka; N. Makai; O. Maka; P. Chhali; Tam. Makka Cholam; Tel. Mokkajonna; U. makai.,Cereals and Millets,vegetarian eggetarian fishetarian veg,405,14,4.16,0.41,16.42,0.89,1.35,0.07,3.3,74.4,Makka
A009,Quinoa,Chenopodium quinoa,,Cereals and Millets,vegetarian eggetarian fishetarian veg,1374,0,13.11,0,53.65,0,5.5,0,14.66,10.43,
A010,Ragi,Eleusine coracana,A. Ragi; B. Ragi; E. Finger millet; G. Bavato; H. Ragi; Kan. Bhakri; Kh. Ukrai; Mal. Panjapulle; Mar. Bhakri; N. Kodo; O. Mandia; P.  Mandal; S. Madhulika; Tam. Kelvaragu; Tel. Ragi; U. Mandwa.,Cereals and Millets,vegetarian eggetarian fishetarian veg,1342,10,7.16,0.63,66.82,0.73,1.92,0.14,11.18,10.89,Ragi
